,sentiment
12193,positive
12194,negative
12195,negative
12196,positive
12197,negative
12198,negative
12199,negative
12200,positive
12201,positive
12202,positive
12203,positive
12204,negative
12205,negative
12206,positive
12207,negative
12208,positive
12209,positive
12210,positive
12211,negative
12212,positive
12213,negative
12214,positive
12215,positive
12216,negative
12217,positive
12218,negative
12219,negative
12220,positive
12221,negative
12222,negative
12223,positive
12224,negative
12225,positive
12226,negative
12227,negative
12228,positive
12229,negative
12230,negative
12231,negative
12232,positive
12233,negative
12234,positive
12235,positive
12236,negative
12237,positive
12238,negative
12239,negative
12240,negative
12241,positive
12242,negative
12243,positive
12244,positive
12245,negative
12246,positive
12247,positive
12248,negative
12249,negative
12250,positive
12251,negative
12252,positive
12253,positive
12254,negative
12255,negative
12256,positive
12257,negative
12258,negative
12259,negative
12260,negative
12261,negative
12262,positive
12263,positive
12264,positive
12265,positive
12266,positive
12267,negative
12268,positive
12269,positive
12270,positive
12271,negative
12272,positive
12273,positive
12274,negative
12275,positive
12276,positive
12277,positive
12278,negative
12279,positive
12280,negative
12281,negative
12282,positive
12283,negative
12284,negative
12285,negative
12286,positive
12287,positive
12288,positive
12289,positive
12290,positive
12291,negative
12292,positive
12293,positive
12294,positive
12295,negative
12296,negative
12297,negative
12298,positive
12299,positive
12300,positive
12301,negative
12302,positive
12303,positive
12304,positive
12305,negative
12306,negative
12307,negative
12308,negative
12309,positive
12310,positive
12311,negative
12312,positive
12313,positive
12314,negative
12315,positive
12316,positive
12317,negative
12318,positive
12319,negative
12320,positive
12321,negative
12322,negative
12323,negative
12324,negative
12325,negative
12326,negative
12327,negative
12328,negative
12329,negative
12330,negative
12331,positive
12332,positive
12333,positive
12334,positive
12335,positive
12336,negative
12337,negative
12338,negative
12339,positive
12340,positive
12341,negative
12342,negative
12343,negative
12344,positive
12345,positive
12346,positive
12347,positive
12348,negative
12349,negative
12350,negative
12351,negative
12352,positive
12353,negative
12354,positive
12355,negative
12356,negative
12357,negative
12358,negative
12359,negative
12360,negative
12361,negative
12362,positive
12363,negative
12364,negative
12365,negative
12366,positive
12367,negative
12368,positive
12369,negative
12370,positive
12371,positive
12372,negative
12373,negative
12374,positive
12375,positive
12376,negative
12377,negative
12378,negative
12379,positive
12380,negative
12381,positive
12382,negative
12383,negative
12384,negative
12385,negative
12386,positive
12387,negative
12388,negative
12389,negative
12390,positive
12391,positive
12392,positive
12393,positive
12394,positive
12395,negative
12396,positive
12397,positive
12398,negative
12399,negative
12400,positive
12401,positive
12402,positive
12403,positive
12404,positive
12405,negative
12406,positive
12407,positive
12408,positive
12409,negative
12410,negative
12411,positive
12412,negative
12413,positive
12414,positive
12415,negative
12416,positive
12417,negative
12418,negative
12419,positive
12420,negative
12421,positive
12422,negative
12423,positive
12424,positive
12425,positive
12426,positive
12427,positive
12428,negative
12429,negative
12430,positive
12431,negative
12432,negative
12433,positive
12434,negative
12435,positive
12436,positive
12437,positive
12438,negative
12439,positive
12440,negative
12441,positive
12442,negative
12443,negative
12444,negative
12445,positive
12446,positive
12447,positive
12448,negative
12449,positive
12450,positive
12451,positive
12452,positive
12453,positive
12454,negative
12455,negative
12456,positive
12457,positive
12458,positive
12459,negative
12460,negative
12461,positive
12462,negative
12463,negative
12464,negative
12465,positive
12466,positive
12467,positive
12468,negative
12469,negative
12470,negative
12471,positive
12472,positive
12473,positive
12474,positive
12475,positive
12476,positive
12477,negative
12478,negative
12479,positive
12480,positive
12481,positive
12482,negative
12483,positive
12484,negative
12485,positive
12486,negative
12487,negative
12488,negative
12489,negative
12490,positive
12491,positive
12492,negative
12493,negative
12494,negative
12495,negative
12496,positive
12497,negative
12498,negative
12499,negative
12500,negative
12501,negative
12502,positive
12503,negative
12504,positive
12505,positive
12506,positive
12507,positive
12508,positive
12509,positive
12510,positive
12511,positive
12512,positive
12513,positive
12514,negative
12515,negative
12516,positive
12517,negative
12518,positive
12519,positive
12520,positive
12521,positive
12522,positive
12523,positive
12524,positive
12525,negative
12526,positive
12527,negative
12528,positive
12529,positive
12530,negative
12531,positive
12532,negative
12533,positive
12534,positive
12535,positive
12536,negative
12537,negative
12538,negative
12539,negative
12540,positive
12541,positive
12542,negative
12543,negative
12544,positive
12545,positive
12546,negative
12547,positive
12548,positive
12549,positive
12550,positive
12551,positive
12552,negative
12553,negative
12554,positive
12555,positive
12556,negative
12557,negative
12558,negative
12559,negative
12560,negative
12561,negative
12562,positive
12563,positive
12564,positive
12565,positive
12566,negative
12567,negative
12568,negative
12569,negative
12570,positive
12571,positive
12572,negative
12573,positive
12574,positive
12575,negative
12576,negative
12577,negative
12578,positive
12579,negative
12580,positive
12581,negative
12582,positive
12583,positive
12584,negative
12585,positive
12586,negative
12587,negative
12588,negative
12589,positive
12590,negative
12591,positive
12592,negative
12593,negative
12594,positive
12595,positive
12596,negative
12597,positive
12598,positive
12599,negative
12600,positive
12601,negative
12602,positive
12603,positive
12604,negative
12605,positive
12606,negative
12607,negative
12608,positive
12609,positive
12610,negative
12611,negative
12612,positive
12613,positive
12614,positive
12615,positive
12616,negative
12617,positive
12618,negative
12619,negative
12620,negative
12621,positive
12622,positive
12623,positive
12624,positive
12625,negative
12626,negative
12627,negative
12628,negative
12629,negative
12630,positive
12631,negative
12632,positive
12633,negative
12634,negative
12635,positive
12636,positive
12637,negative
12638,positive
12639,negative
12640,positive
12641,negative
12642,negative
12643,positive
12644,negative
12645,positive
12646,negative
12647,positive
12648,negative
12649,positive
12650,positive
12651,positive
12652,negative
12653,negative
12654,negative
12655,negative
12656,positive
12657,negative
12658,positive
12659,negative
12660,positive
12661,positive
12662,negative
12663,positive
12664,positive
12665,negative
12666,negative
12667,negative
12668,negative
12669,positive
12670,positive
12671,negative
12672,negative
12673,positive
12674,negative
12675,positive
12676,positive
12677,negative
12678,positive
12679,positive
12680,negative
12681,positive
12682,positive
12683,positive
12684,negative
12685,negative
12686,negative
12687,negative
12688,positive
12689,negative
12690,positive
12691,positive
12692,negative
12693,positive
12694,negative
12695,positive
12696,negative
12697,negative
12698,positive
12699,positive
12700,negative
12701,negative
12702,negative
12703,negative
12704,negative
12705,negative
12706,negative
12707,positive
12708,positive
12709,positive
12710,positive
12711,negative
12712,negative
12713,positive
12714,negative
12715,positive
12716,negative
12717,negative
12718,negative
12719,positive
12720,positive
12721,negative
12722,positive
12723,negative
12724,positive
12725,positive
12726,negative
12727,positive
12728,negative
12729,negative
12730,positive
12731,negative
12732,positive
12733,positive
12734,negative
12735,negative
12736,negative
12737,negative
12738,negative
12739,negative
12740,positive
12741,negative
12742,negative
12743,positive
12744,negative
12745,negative
12746,positive
12747,negative
12748,positive
12749,negative
12750,positive
12751,negative
12752,negative
12753,negative
12754,negative
12755,negative
12756,positive
12757,positive
12758,positive
12759,negative
12760,negative
12761,negative
12762,negative
12763,positive
12764,positive
12765,positive
12766,negative
12767,negative
12768,negative
12769,positive
12770,negative
12771,negative
12772,negative
12773,positive
12774,positive
12775,positive
12776,positive
12777,positive
12778,positive
12779,negative
12780,negative
12781,negative
12782,negative
12783,positive
12784,negative
12785,positive
12786,positive
12787,positive
12788,positive
12789,negative
12790,positive
12791,negative
12792,negative
12793,negative
12794,positive
12795,negative
12796,negative
12797,positive
12798,negative
12799,positive
12800,negative
12801,negative
12802,negative
12803,negative
12804,positive
12805,negative
12806,negative
12807,negative
12808,positive
12809,positive
12810,negative
12811,positive
12812,negative
12813,negative
12814,negative
12815,negative
12816,positive
12817,negative
12818,negative
12819,negative
12820,negative
12821,positive
12822,negative
12823,negative
12824,negative
12825,negative
12826,positive
12827,positive
12828,negative
12829,positive
12830,negative
12831,negative
12832,positive
12833,positive
12834,positive
12835,negative
12836,positive
12837,negative
12838,positive
12839,negative
12840,negative
12841,positive
12842,negative
12843,positive
12844,positive
12845,negative
12846,positive
12847,positive
12848,positive
12849,positive
12850,positive
12851,negative
12852,negative
12853,negative
12854,positive
12855,positive
12856,positive
12857,positive
12858,positive
12859,positive
12860,negative
12861,positive
12862,negative
12863,negative
12864,positive
12865,negative
12866,positive
12867,negative
12868,positive
12869,negative
12870,negative
12871,negative
12872,negative
12873,negative
12874,negative
12875,negative
12876,negative
12877,positive
12878,positive
12879,negative
12880,negative
12881,positive
12882,negative
12883,negative
12884,negative
12885,positive
12886,negative
12887,negative
12888,negative
12889,positive
12890,negative
12891,positive
12892,negative
12893,negative
12894,negative
12895,positive
12896,negative
12897,negative
12898,positive
12899,negative
12900,negative
12901,positive
12902,negative
12903,positive
12904,positive
12905,positive
12906,negative
12907,positive
12908,negative
12909,negative
12910,positive
12911,negative
12912,positive
12913,negative
12914,negative
12915,positive
12916,positive
12917,negative
12918,positive
12919,positive
12920,negative
12921,negative
12922,positive
12923,positive
12924,negative
12925,negative
12926,positive
12927,negative
12928,negative
12929,negative
12930,positive
12931,positive
12932,negative
12933,negative
12934,positive
12935,positive
12936,negative
12937,negative
12938,positive
12939,positive
12940,negative
12941,positive
12942,positive
12943,negative
12944,positive
12945,negative
12946,positive
12947,positive
12948,negative
12949,negative
12950,positive
12951,positive
12952,negative
12953,negative
12954,negative
12955,negative
12956,negative
12957,positive
12958,positive
12959,negative
12960,negative
12961,positive
12962,positive
12963,positive
12964,negative
12965,positive
12966,positive
12967,positive
12968,negative
12969,positive
12970,positive
12971,negative
12972,positive
12973,negative
12974,positive
12975,negative
12976,positive
12977,negative
12978,positive
12979,positive
12980,positive
12981,negative
12982,positive
12983,negative
12984,positive
12985,negative
12986,negative
12987,negative
12988,positive
12989,positive
12990,positive
12991,positive
12992,negative
12993,positive
12994,negative
12995,negative
12996,negative
12997,positive
12998,negative
12999,positive
13000,negative
13001,positive
13002,positive
13003,positive
13004,positive
13005,positive
13006,positive
13007,positive
13008,positive
13009,negative
13010,positive
13011,positive
13012,negative
13013,positive
13014,negative
13015,positive
13016,positive
13017,negative
13018,positive
13019,negative
13020,positive
13021,positive
13022,positive
13023,positive
13024,positive
13025,positive
13026,negative
13027,negative
13028,positive
13029,positive
13030,positive
13031,negative
13032,negative
13033,negative
13034,positive
13035,positive
13036,positive
13037,negative
13038,negative
13039,negative
13040,negative
13041,positive
13042,negative
13043,negative
13044,negative
13045,positive
13046,negative
13047,negative
13048,negative
13049,positive
13050,positive
13051,positive
13052,negative
13053,positive
13054,negative
13055,positive
13056,positive
13057,negative
13058,negative
13059,negative
13060,positive
13061,positive
13062,negative
13063,positive
13064,positive
13065,negative
13066,negative
13067,negative
13068,positive
13069,negative
13070,negative
13071,negative
13072,positive
13073,negative
13074,positive
13075,negative
13076,negative
13077,positive
13078,positive
13079,positive
13080,positive
13081,positive
13082,negative
13083,positive
13084,negative
13085,negative
13086,positive
13087,positive
13088,negative
13089,positive
13090,positive
13091,negative
13092,positive
13093,positive
13094,negative
13095,negative
13096,negative
13097,negative
13098,negative
13099,negative
13100,negative
13101,positive
13102,positive
13103,positive
13104,positive
13105,negative
13106,negative
13107,positive
13108,negative
13109,negative
13110,negative
13111,negative
13112,negative
13113,positive
13114,negative
13115,negative
13116,positive
13117,negative
13118,negative
13119,positive
13120,negative
13121,positive
13122,negative
13123,negative
13124,negative
13125,negative
13126,positive
13127,negative
13128,positive
13129,negative
13130,positive
13131,positive
13132,negative
13133,positive
13134,negative
13135,negative
13136,negative
13137,negative
13138,negative
13139,positive
13140,positive
13141,negative
13142,positive
13143,positive
13144,positive
13145,negative
13146,positive
13147,negative
13148,negative
13149,negative
13150,negative
13151,positive
13152,negative
13153,negative
13154,negative
13155,positive
13156,positive
13157,negative
13158,negative
13159,positive
13160,positive
13161,negative
13162,positive
13163,positive
13164,negative
13165,positive
13166,negative
13167,positive
13168,negative
13169,positive
13170,negative
13171,negative
13172,positive
13173,negative
13174,positive
13175,negative
13176,negative
13177,negative
13178,positive
13179,negative
13180,negative
13181,negative
13182,negative
13183,positive
13184,negative
13185,negative
13186,positive
13187,negative
13188,negative
13189,negative
13190,positive
13191,negative
13192,negative
13193,positive
13194,positive
13195,positive
13196,negative
13197,positive
13198,positive
13199,negative
13200,negative
13201,negative
13202,positive
13203,positive
13204,positive
13205,positive
13206,positive
13207,positive
13208,negative
13209,positive
13210,negative
13211,positive
13212,positive
13213,positive
13214,positive
13215,negative
13216,positive
13217,positive
13218,negative
13219,positive
13220,positive
13221,positive
13222,positive
13223,positive
13224,negative
13225,negative
13226,positive
13227,positive
13228,negative
13229,positive
13230,negative
13231,positive
13232,positive
13233,negative
13234,positive
13235,positive
13236,positive
13237,negative
13238,positive
13239,positive
13240,negative
13241,negative
13242,positive
13243,negative
13244,negative
13245,negative
13246,negative
13247,positive
13248,negative
13249,negative
13250,negative
13251,positive
13252,negative
13253,positive
13254,negative
13255,negative
13256,positive
13257,positive
13258,negative
13259,positive
13260,positive
13261,negative
13262,negative
13263,positive
13264,positive
13265,negative
13266,positive
13267,negative
13268,negative
13269,positive
13270,negative
13271,negative
13272,positive
13273,negative
13274,negative
13275,negative
13276,positive
13277,positive
13278,positive
13279,positive
13280,positive
13281,positive
13282,positive
13283,positive
13284,positive
13285,negative
13286,positive
13287,negative
13288,positive
13289,positive
13290,negative
13291,positive
13292,negative
13293,negative
13294,positive
13295,positive
13296,positive
13297,negative
13298,negative
13299,positive
13300,negative
13301,positive
13302,positive
13303,positive
13304,negative
13305,positive
13306,negative
13307,negative
13308,negative
13309,positive
13310,negative
13311,negative
13312,positive
13313,positive
13314,negative
13315,positive
13316,negative
13317,positive
13318,negative
13319,positive
13320,positive
13321,positive
13322,negative
13323,negative
13324,negative
13325,positive
13326,negative
13327,negative
13328,negative
13329,positive
13330,positive
13331,positive
13332,positive
13333,negative
13334,positive
13335,negative
13336,positive
13337,negative
13338,positive
13339,negative
13340,negative
13341,negative
13342,negative
13343,positive
13344,negative
13345,positive
13346,positive
13347,negative
13348,positive
13349,positive
13350,negative
13351,negative
13352,positive
13353,negative
13354,positive
13355,negative
13356,negative
13357,positive
13358,negative
13359,positive
13360,positive
13361,positive
13362,negative
13363,negative
13364,negative
13365,negative
13366,positive
13367,negative
13368,negative
13369,negative
13370,positive
13371,negative
13372,positive
13373,negative
13374,negative
13375,negative
13376,negative
13377,negative
13378,positive
13379,negative
13380,negative
13381,negative
13382,positive
13383,positive
13384,negative
13385,negative
13386,positive
13387,negative
13388,positive
13389,negative
13390,negative
13391,negative
13392,positive
13393,positive
13394,negative
13395,positive
13396,positive
13397,positive
13398,positive
13399,positive
13400,negative
13401,positive
13402,positive
13403,positive
13404,negative
13405,positive
13406,negative
13407,negative
13408,positive
13409,negative
13410,positive
13411,positive
13412,negative
13413,negative
13414,negative
13415,negative
13416,negative
13417,negative
13418,negative
13419,positive
13420,negative
13421,negative
13422,positive
13423,negative
13424,negative
13425,positive
13426,positive
13427,negative
13428,negative
13429,negative
13430,positive
13431,positive
13432,positive
13433,negative
13434,positive
13435,negative
13436,negative
13437,negative
13438,negative
13439,positive
13440,negative
13441,negative
13442,negative
13443,negative
13444,negative
13445,positive
13446,negative
13447,positive
13448,negative
13449,negative
13450,positive
13451,negative
13452,negative
13453,positive
13454,negative
13455,negative
13456,positive
13457,negative
13458,positive
13459,positive
13460,positive
13461,positive
13462,positive
13463,positive
13464,negative
13465,positive
13466,positive
13467,positive
13468,negative
13469,negative
13470,positive
13471,positive
13472,negative
13473,positive
13474,positive
13475,positive
13476,negative
13477,negative
13478,positive
13479,negative
13480,negative
13481,positive
13482,negative
13483,positive
13484,positive
13485,negative
13486,positive
13487,positive
13488,positive
13489,negative
13490,positive
13491,negative
13492,negative
13493,positive
13494,positive
13495,positive
13496,negative
13497,negative
13498,negative
13499,negative
13500,positive
13501,negative
13502,positive
13503,positive
13504,negative
13505,positive
13506,negative
13507,positive
13508,negative
13509,positive
13510,negative
13511,positive
13512,negative
13513,negative
13514,negative
13515,positive
13516,negative
13517,negative
13518,positive
13519,negative
13520,negative
13521,positive
13522,negative
13523,negative
13524,positive
13525,negative
13526,positive
13527,positive
13528,negative
13529,positive
13530,positive
13531,negative
13532,positive
13533,positive
13534,positive
13535,negative
13536,positive
13537,negative
13538,positive
13539,negative
13540,positive
13541,positive
13542,positive
13543,negative
13544,negative
13545,positive
13546,negative
13547,negative
13548,positive
13549,positive
13550,negative
13551,positive
13552,negative
13553,negative
13554,negative
13555,positive
13556,negative
13557,positive
13558,positive
13559,negative
13560,positive
13561,positive
13562,negative
13563,positive
13564,negative
13565,positive
13566,negative
13567,negative
13568,negative
13569,positive
13570,negative
13571,positive
13572,positive
13573,positive
13574,positive
13575,positive
13576,positive
13577,positive
13578,positive
13579,positive
13580,negative
13581,negative
13582,positive
13583,negative
13584,positive
13585,negative
13586,negative
13587,negative
13588,negative
13589,negative
13590,positive
13591,positive
13592,negative
13593,positive
13594,positive
13595,negative
13596,positive
13597,positive
13598,positive
13599,negative
13600,positive
13601,positive
13602,positive
13603,negative
13604,positive
13605,positive
13606,positive
13607,negative
13608,positive
13609,negative
13610,negative
13611,positive
13612,negative
13613,positive
13614,positive
13615,negative
13616,positive
13617,positive
13618,positive
13619,negative
13620,positive
13621,negative
13622,positive
13623,negative
13624,negative
13625,negative
13626,positive
13627,positive
13628,negative
13629,negative
13630,negative
13631,negative
13632,positive
13633,negative
13634,positive
13635,positive
13636,negative
13637,positive
13638,positive
13639,negative
13640,negative
13641,negative
13642,positive
13643,negative
13644,positive
13645,negative
13646,negative
13647,negative
13648,positive
13649,positive
13650,negative
13651,negative
13652,negative
13653,negative
13654,negative
13655,positive
13656,positive
13657,negative
13658,positive
13659,positive
13660,positive
13661,negative
13662,negative
13663,positive
13664,negative
13665,negative
13666,negative
13667,positive
13668,negative
13669,positive
13670,negative
13671,positive
13672,positive
13673,negative
13674,negative
13675,negative
13676,positive
13677,positive
13678,negative
13679,negative
13680,negative
13681,negative
13682,positive
13683,positive
13684,positive
13685,positive
13686,negative
13687,negative
13688,negative
13689,negative
13690,negative
13691,positive
13692,negative
13693,negative
13694,negative
13695,positive
13696,negative
13697,positive
13698,negative
13699,positive
13700,negative
13701,negative
13702,negative
13703,positive
13704,positive
13705,negative
13706,positive
13707,negative
13708,negative
13709,positive
13710,negative
13711,negative
13712,negative
13713,negative
13714,negative
13715,positive
13716,positive
13717,positive
13718,negative
13719,negative
13720,negative
13721,positive
13722,positive
13723,positive
13724,negative
13725,positive
13726,positive
13727,negative
13728,positive
13729,positive
13730,positive
13731,positive
13732,positive
13733,negative
13734,positive
13735,negative
13736,positive
13737,negative
13738,negative
13739,positive
13740,negative
13741,positive
13742,negative
13743,positive
13744,negative
13745,negative
13746,negative
13747,negative
13748,negative
13749,negative
13750,negative
13751,positive
13752,negative
13753,negative
13754,positive
13755,negative
13756,negative
13757,negative
13758,negative
13759,positive
13760,negative
13761,negative
13762,negative
13763,negative
13764,negative
13765,negative
13766,positive
13767,positive
13768,negative
13769,negative
13770,positive
13771,positive
13772,positive
13773,positive
13774,negative
13775,negative
13776,negative
13777,negative
13778,positive
13779,positive
13780,negative
13781,negative
13782,negative
13783,positive
13784,positive
13785,negative
13786,positive
13787,negative
13788,positive
13789,negative
13790,positive
13791,positive
13792,negative
13793,negative
13794,negative
13795,negative
13796,negative
13797,negative
13798,positive
13799,positive
13800,negative
13801,negative
13802,negative
13803,positive
13804,negative
13805,positive
13806,positive
13807,positive
13808,positive
13809,positive
13810,positive
13811,negative
13812,negative
13813,positive
13814,negative
13815,negative
13816,positive
13817,negative
13818,positive
13819,positive
13820,negative
13821,negative
13822,positive
13823,negative
13824,negative
13825,negative
13826,negative
13827,positive
13828,negative
13829,positive
13830,negative
13831,negative
13832,negative
13833,positive
13834,negative
13835,negative
13836,positive
13837,negative
13838,positive
13839,positive
13840,negative
13841,negative
13842,negative
13843,negative
13844,negative
13845,negative
13846,negative
13847,negative
13848,negative
13849,positive
13850,positive
13851,positive
13852,negative
13853,positive
13854,positive
13855,negative
13856,negative
13857,negative
13858,negative
13859,positive
13860,positive
13861,positive
13862,negative
13863,positive
13864,negative
13865,positive
13866,negative
13867,negative
13868,positive
13869,negative
13870,positive
13871,negative
13872,negative
13873,positive
13874,negative
13875,positive
13876,positive
13877,negative
13878,negative
13879,negative
13880,positive
13881,positive
13882,positive
13883,positive
13884,positive
13885,positive
13886,positive
13887,positive
13888,positive
13889,positive
13890,positive
13891,positive
13892,negative
13893,positive
13894,positive
13895,positive
13896,negative
13897,negative
13898,positive
13899,negative
13900,positive
13901,negative
13902,positive
13903,positive
13904,positive
13905,positive
13906,positive
13907,positive
13908,negative
13909,negative
13910,negative
13911,positive
13912,negative
13913,positive
13914,negative
13915,positive
13916,negative
13917,negative
13918,positive
13919,positive
13920,positive
13921,positive
13922,positive
13923,negative
13924,positive
13925,positive
13926,positive
13927,positive
13928,positive
13929,positive
13930,positive
13931,positive
13932,negative
13933,positive
13934,negative
13935,negative
13936,negative
13937,negative
13938,negative
13939,positive
13940,negative
13941,positive
13942,negative
13943,negative
13944,positive
13945,negative
13946,positive
13947,positive
13948,negative
13949,negative
13950,negative
13951,negative
13952,positive
13953,negative
13954,negative
13955,negative
13956,negative
13957,negative
13958,positive
13959,positive
13960,positive
13961,positive
13962,positive
13963,negative
13964,negative
13965,positive
13966,negative
13967,negative
13968,positive
13969,positive
13970,negative
13971,negative
13972,negative
13973,negative
13974,positive
13975,negative
13976,negative
13977,positive
13978,negative
13979,positive
13980,negative
13981,positive
13982,negative
13983,positive
13984,negative
13985,positive
13986,negative
13987,negative
13988,positive
13989,positive
13990,negative
13991,negative
13992,negative
13993,negative
13994,negative
13995,negative
13996,positive
13997,negative
13998,negative
13999,negative
14000,positive
14001,positive
14002,positive
14003,positive
14004,positive
14005,positive
14006,negative
14007,positive
14008,positive
14009,negative
14010,negative
14011,positive
14012,positive
14013,positive
14014,negative
14015,positive
14016,positive
14017,negative
14018,positive
14019,negative
14020,negative
14021,negative
14022,positive
14023,negative
14024,positive
14025,positive
14026,negative
14027,positive
14028,positive
14029,positive
14030,positive
14031,negative
14032,negative
14033,negative
14034,positive
14035,positive
14036,positive
14037,negative
14038,negative
14039,negative
14040,negative
14041,negative
14042,positive
14043,negative
14044,negative
14045,positive
14046,positive
14047,negative
14048,negative
14049,negative
14050,negative
14051,positive
14052,negative
14053,negative
14054,positive
14055,positive
14056,negative
14057,positive
14058,positive
14059,negative
14060,positive
14061,negative
14062,negative
14063,positive
14064,positive
14065,negative
14066,positive
14067,negative
14068,negative
14069,positive
14070,positive
14071,positive
14072,negative
14073,negative
14074,negative
14075,positive
14076,negative
14077,positive
14078,negative
14079,positive
14080,positive
14081,positive
14082,negative
14083,positive
14084,positive
14085,negative
14086,negative
14087,negative
14088,negative
14089,positive
14090,positive
14091,negative
14092,positive
14093,positive
14094,negative
14095,negative
14096,negative
14097,positive
14098,positive
14099,positive
14100,positive
14101,positive
14102,positive
14103,negative
14104,negative
14105,negative
14106,positive
14107,positive
14108,positive
14109,negative
14110,positive
14111,positive
14112,positive
14113,negative
14114,negative
14115,positive
14116,negative
14117,negative
14118,positive
14119,positive
14120,negative
14121,positive
14122,negative
14123,negative
14124,negative
14125,negative
14126,negative
14127,negative
14128,negative
14129,negative
14130,negative
14131,negative
14132,negative
14133,negative
14134,negative
14135,positive
14136,positive
14137,negative
14138,negative
14139,negative
14140,negative
14141,negative
14142,negative
14143,positive
14144,negative
14145,negative
14146,positive
14147,positive
14148,negative
14149,negative
14150,negative
14151,negative
14152,positive
14153,negative
14154,negative
14155,negative
14156,negative
14157,negative
14158,positive
14159,positive
14160,negative
14161,negative
14162,positive
14163,negative
14164,positive
14165,positive
14166,positive
14167,positive
14168,positive
14169,negative
14170,positive
14171,positive
14172,positive
14173,negative
14174,positive
14175,positive
14176,positive
14177,negative
14178,negative
14179,positive
14180,positive
14181,negative
14182,positive
14183,negative
14184,positive
14185,positive
14186,negative
14187,negative
14188,negative
14189,positive
14190,negative
14191,negative
14192,positive
14193,positive
14194,negative
14195,negative
14196,positive
14197,negative
14198,positive
14199,positive
14200,positive
14201,positive
14202,positive
14203,positive
14204,positive
14205,positive
14206,negative
14207,negative
14208,positive
14209,positive
14210,negative
14211,positive
14212,positive
14213,positive
14214,negative
14215,negative
14216,positive
14217,positive
14218,positive
14219,negative
14220,negative
14221,negative
14222,negative
14223,positive
14224,negative
14225,negative
14226,positive
14227,negative
14228,positive
14229,negative
14230,negative
14231,negative
14232,positive
14233,positive
14234,negative
14235,positive
14236,negative
14237,negative
14238,positive
14239,positive
14240,positive
14241,negative
14242,positive
14243,negative
14244,negative
14245,negative
14246,negative
14247,negative
14248,negative
14249,positive
14250,positive
14251,positive
14252,negative
14253,positive
14254,negative
14255,positive
14256,negative
14257,negative
14258,negative
14259,negative
14260,positive
14261,negative
14262,negative
14263,negative
14264,negative
14265,negative
14266,negative
14267,negative
14268,negative
14269,positive
14270,negative
14271,positive
14272,negative
14273,positive
14274,positive
14275,negative
14276,negative
14277,negative
14278,negative
14279,negative
14280,negative
14281,positive
14282,positive
14283,positive
14284,positive
14285,positive
14286,positive
14287,negative
14288,negative
14289,positive
14290,positive
14291,positive
14292,positive
14293,negative
14294,positive
14295,positive
14296,negative
14297,positive
14298,negative
14299,negative
14300,positive
14301,positive
14302,positive
14303,negative
14304,positive
14305,negative
14306,positive
14307,negative
14308,negative
14309,positive
14310,positive
14311,negative
14312,negative
14313,positive
14314,positive
14315,negative
14316,negative
14317,positive
14318,positive
14319,negative
14320,negative
14321,negative
14322,positive
14323,negative
14324,positive
14325,positive
14326,negative
14327,negative
14328,positive
14329,positive
14330,negative
14331,positive
14332,positive
14333,negative
14334,negative
14335,negative
14336,negative
14337,positive
14338,negative
14339,positive
14340,negative
14341,positive
14342,negative
14343,negative
14344,negative
14345,negative
14346,negative
14347,negative
14348,negative
14349,positive
14350,negative
14351,negative
14352,negative
14353,negative
14354,negative
14355,negative
14356,positive
14357,negative
14358,negative
14359,negative
14360,positive
14361,negative
14362,positive
14363,negative
14364,negative
14365,negative
14366,positive
14367,positive
14368,negative
14369,positive
14370,negative
14371,negative
14372,negative
14373,negative
14374,positive
14375,negative
14376,positive
14377,positive
14378,negative
14379,positive
14380,negative
14381,negative
14382,negative
14383,positive
14384,positive
14385,negative
14386,negative
14387,positive
14388,negative
14389,positive
14390,negative
14391,positive
14392,negative
14393,positive
14394,negative
14395,positive
14396,negative
14397,positive
14398,positive
14399,negative
14400,positive
14401,positive
14402,negative
14403,positive
14404,negative
14405,negative
14406,negative
14407,negative
14408,negative
14409,negative
14410,negative
14411,negative
14412,positive
14413,negative
14414,negative
14415,negative
14416,positive
14417,positive
14418,negative
14419,positive
14420,positive
14421,positive
14422,positive
14423,positive
14424,negative
14425,negative
14426,positive
14427,positive
14428,positive
14429,negative
14430,positive
14431,positive
14432,positive
14433,negative
14434,positive
14435,positive
14436,positive
14437,negative
14438,negative
14439,negative
14440,positive
14441,positive
14442,positive
14443,negative
14444,positive
14445,negative
14446,negative
14447,negative
14448,negative
14449,negative
14450,positive
14451,negative
14452,positive
14453,negative
14454,negative
14455,positive
14456,positive
14457,positive
14458,positive
14459,negative
14460,negative
14461,negative
14462,positive
14463,negative
14464,negative
14465,negative
14466,positive
14467,positive
14468,negative
14469,positive
14470,positive
14471,negative
14472,positive
14473,positive
14474,positive
14475,negative
14476,negative
14477,positive
14478,positive
14479,negative
14480,negative
14481,positive
14482,positive
14483,negative
14484,negative
14485,positive
14486,negative
14487,negative
14488,positive
14489,positive
14490,negative
14491,negative
14492,negative
14493,positive
14494,positive
14495,positive
14496,negative
14497,positive
14498,positive
14499,negative
14500,positive
14501,negative
14502,negative
14503,negative
14504,positive
14505,negative
14506,positive
14507,positive
14508,positive
14509,negative
14510,negative
14511,positive
14512,negative
14513,negative
14514,positive
14515,negative
14516,positive
14517,positive
14518,negative
14519,positive
14520,positive
14521,positive
14522,negative
14523,negative
14524,negative
